iter	Accuracy	Logloss
105	0.9596774194	0.1220299852
106	0.9596774194	0.1219015752
107	0.9596774194	0.1212730405
108	0.9596774194	0.1210049976
109	0.9596774194	0.1206528474
110	0.9596774194	0.1204693731
111	0.9596774194	0.1202144953
112	0.9596774194	0.1198008235
113	0.9596774194	0.119159188
114	0.9596774194	0.1189657852
115	0.9677419355	0.1181194655
116	0.9677419355	0.1178813838
117	0.9677419355	0.1178056633
118	0.9677419355	0.1176311332
119	0.9677419355	0.1173372004
120	0.9677419355	0.1170991285
121	0.9677419355	0.1170119116
122	0.9677419355	0.1168392845
123	0.9677419355	0.1162221391
124	0.9677419355	0.1153639188
125	0.9677419355	0.1151283085
126	0.9677419355	0.1149743638
127	0.9677419355	0.1148418022
128	0.9677419355	0.113917327
129	0.9677419355	0.1131965777
130	0.9677419355	0.112546194
131	0.9677419355	0.1120513195
132	0.9677419355	0.1119148909
133	0.9677419355	0.1116230474
134	0.9677419355	0.1114633072
135	0.9677419355	0.111348056
136	0.9677419355	0.1111853828
137	0.9677419355	0.1110597212
138	0.9677419355	0.1104500989
139	0.9677419355	0.1103358566
140	0.9677419355	0.1102769626
141	0.9677419355	0.1101683242
142	0.9677419355	0.1100101201
143	0.9677419355	0.1095126591
144	0.9677419355	0.1094604491
145	0.9677419355	0.1094230674
146	0.9677419355	0.109020581
147	0.9677419355	0.1083288118
148	0.9677419355	0.107764982
149	0.9677419355	0.1072705778
150	0.9677419355	0.1072130639
151	0.9677419355	0.1066692163
152	0.9677419355	0.1061199412
153	0.9677419355	0.1060253471
154	0.9677419355	0.1059719966
155	0.9677419355	0.105881883
156	0.9677419355	0.1054481118
157	0.9677419355	0.1053981015
158	0.9677419355	0.1046745088
159	0.9677419355	0.1046258835
160	0.9677419355	0.1045785918
161	0.9677419355	0.1040795074
162	0.9677419355	0.1033875038
163	0.9677419355	0.1033341941
164	0.9677419355	0.1032899644
165	0.9677419355	0.103180071
166	0.9677419355	0.1031000516
167	0.9677419355	0.10265453
168	0.9677419355	0.1025778779
169	0.9677419355	0.1025382685
170	0.9677419355	0.1019165005
171	0.9677419355	0.1015744395
172	0.9677419355	0.1011757355
173	0.9677419355	0.1011372214
174	0.9677419355	0.1011068343
175	0.9677419355	0.1010700647
176	0.9677419355	0.1004125018
177	0.9677419355	0.1003769632
178	0.9677419355	0.1000647366
179	0.9677419355	0.09997116622
180	0.9677419355	0.09931020462
181	0.9677419355	0.09879402785
182	0.9677419355	0.09830940921
183	0.9677419355	0.09769957113
184	0.9677419355	0.09766696969
185	0.9677419355	0.0976351133
186	0.9677419355	0.09760397456
187	0.9677419355	0.09733905923
188	0.9677419355	0.09695545101
189	0.9677419355	0.09692444952
190	0.9677419355	0.09689414493
191	0.9677419355	0.09686451174
192	0.9677419355	0.09662445809
193	0.9677419355	0.09605982371
194	0.9677419355	0.09603135696
195	0.9677419355	0.09560985918
196	0.9677419355	0.0955819689
197	0.9677419355	0.09514422735
198	0.9677419355	0.09511704999
199	0.9677419355	0.0947372137
200	0.9677419355	0.09421947265
201	0.9677419355	0.09382559973
202	0.9677419355	0.09378707542
203	0.9677419355	0.09376141256
204	0.9677419355	0.0936776152
205	0.9677419355	0.09337537115
206	0.9677419355	0.09300458511
207	0.9677419355	0.09292882337
208	0.9677419355	0.09290538196
209	0.9677419355	0.09282891088
210	0.9677419355	0.09250521713
211	0.9677419355	0.09201810936
212	0.9677419355	0.09199651927
213	0.9677419355	0.09196319824
214	0.9677419355	0.09152920293
215	0.9677419355	0.09149745176
216	0.9677419355	0.09147711843
217	0.9677419355	0.09116588183
218	0.9677419355	0.09114588167
219	0.9677419355	0.09112625266
220	0.9677419355	0.09080475993
221	0.9677419355	0.09073743729
222	0.9677419355	0.09067229464
223	0.9677419355	0.09027020859
224	0.9677419355	0.09020742829
225	0.9677419355	0.08992469002
226	0.9677419355	0.0896638334
227	0.9677419355	0.08964603507
228	0.9677419355	0.08958561946
229	0.9677419355	0.08930266846
230	0.9677419355	0.08927544134
231	0.9677419355	0.08890237472
232	0.9677419355	0.08888577268
233	0.9677419355	0.08886945472
234	0.9677419355	0.08881274377
235	0.9677419355	0.08879700512
236	0.9677419355	0.08855201573
237	0.9677419355	0.08849732039
238	0.9677419355	0.08823962493
239	0.9677419355	0.08818673658
240	0.9677419355	0.08816285057
241	0.9677419355	0.08813972472
242	0.9677419355	0.08779274429
243	0.9677419355	0.08777832688
244	0.9677419355	0.08753067453
245	0.9677419355	0.08730923026
246	0.9677419355	0.08709870163
247	0.9677419355	0.08708471196
248	0.9677419355	0.08703614912
249	0.9677419355	0.08671931593
250	0.9677419355	0.08649361577
251	0.9677419355	0.08644675057
252	0.9677419355	0.08614855013
253	0.9677419355	0.08595989167
254	0.9677419355	0.08593938492
255	0.9677419355	0.08573219661
256	0.9677419355	0.08571948755
257	0.9677419355	0.08567496742
258	0.9677419355	0.08566268448
259	0.9677419355	0.08561961692
260	0.9677419355	0.08533992033
261	0.9677419355	0.08529817426
262	0.9677419355	0.08512018171
263	0.9677419355	0.08507955147
264	0.9677419355	0.08488573398
265	0.9677419355	0.08462755006
266	0.9677419355	0.08445189744
267	0.9677419355	0.08428618081
268	0.9677419355	0.08412799514
269	0.9677419355	0.0840896312
270	0.9677419355	0.084079027
271	0.9677419355	0.08396583011
272	0.9677419355	0.08373370692
273	0.9677419355	0.08369676604
274	0.9677419355	0.08368646316
275	0.9677419355	0.08360956006
276	0.9677419355	0.08338221175
277	0.9677419355	0.08337234613
278	0.9677419355	0.08336261579
279	0.9677419355	0.08335301735
280	0.9677419355	0.08331807023
281	0.9677419355	0.08310251751
282	0.9677419355	0.08306853603
283	0.9677419355	0.08304434397
284	0.9677419355	0.08287729366
285	0.9677419355	0.08286268925
286	0.9677419355	0.08285379988
287	0.9677419355	0.08269531373
288	0.9677419355	0.0826633567
289	0.9677419355	0.0825227903
290	0.9677419355	0.08249160756
291	0.9677419355	0.08247797272
292	0.9677419355	0.08234276975
293	0.9677419355	0.08231281451
294	0.9677419355	0.08230454905
295	0.9677419355	0.08217224618
296	0.9677419355	0.08214310972
297	0.9677419355	0.08194808183
298	0.9677419355	0.08193997509
299	0.9677419355	0.08193197345
300	0.9677419355	0.08188351333
301	0.9677419355	0.08175167276
302	0.9677419355	0.08161136596
303	0.9677419355	0.08148931875
304	0.9677419355	0.08136102528
305	0.9677419355	0.08133327098
306	0.9677419355	0.08131360675
307	0.9677419355	0.08128693824
308	0.9677419355	0.08126087906
309	0.9677419355	0.08116255525
310	0.9677419355	0.08115533855
311	0.9677419355	0.0810367754
312	0.9677419355	0.08091710173
313	0.9677419355	0.08089228494
314	0.9677419355	0.08078307522
315	0.9677419355	0.08065221476
316	0.9677419355	0.08052249858
317	0.9677419355	0.08049888967
318	0.9677419355	0.08037389767
319	0.9677419355	0.08036741323
320	0.9677419355	0.08027745521
321	0.9677419355	0.08025468406
322	0.9677419355	0.08023240735
323	0.9677419355	0.08012458223
324	0.9677419355	0.07996174267
325	0.9677419355	0.07989969891
326	0.9677419355	0.07989347834
327	0.9677419355	0.079871976
328	0.9677419355	0.07986593868
329	0.9677419355	0.07985998063
330	0.9677419355	0.07983911344
331	0.9677419355	0.07983331756
332	0.9677419355	0.07972055989
333	0.9677419355	0.07966211808
334	0.9677419355	0.07956455037
335	0.9677419355	0.07954469491
336	0.9677419355	0.0795015657
337	0.9677419355	0.07940832311
338	0.9677419355	0.07930497872
339	0.9677419355	0.07929956798
340	0.9677419355	0.07918340652
341	0.9677419355	0.07917805396
342	0.9677419355	0.0791593271
343	0.9677419355	0.07914644283
344	0.9677419355	0.07914126914
345	0.9677419355	0.07905330016
346	0.9677419355	0.07904822506
347	0.9677419355	0.07893700459
348	0.9677419355	0.07893197841
349	0.9677419355	0.0789270143
350	0.9677419355	0.07892211002
351	0.9677419355	0.07888571524
352	0.9677419355	0.07886815365
353	0.9677419355	0.07876247844
354	0.9677419355	0.07867724039
355	0.9677419355	0.07866016842
356	0.9677419355	0.07864342601
357	0.9677419355	0.07861384225
358	0.9677419355	0.07853203428
359	0.9677419355	0.07852744366
360	0.9677419355	0.07851126378
361	0.9677419355	0.078506796
362	0.9677419355	0.0784153945
363	0.9677419355	0.07839975935
364	0.9677419355	0.07832278425
365	0.9677419355	0.07828846532
366	0.9677419355	0.07827799899
367	0.9677419355	0.07816743595
368	0.9677419355	0.07815716457
369	0.9677419355	0.07805656424
370	0.9677419355	0.07804653102
371	0.9677419355	0.07795697505
372	0.9677419355	0.0779529117
373	0.9677419355	0.077948891
374	0.9677419355	0.07794491166
375	0.9677419355	0.07794097252
376	0.9677419355	0.07784688179
377	0.9677419355	0.07774368173
378	0.9677419355	0.07766693267
379	0.9677419355	0.07765302895
380	0.9677419355	0.07758820587
381	0.9677419355	0.07757450315
382	0.9677419355	0.07748662433
383	0.9677419355	0.07747316439
384	0.9677419355	0.07740037527
385	0.9677419355	0.07735476286
386	0.9677419355	0.07734151093
387	0.9677419355	0.07725831265
388	0.9677419355	0.07724529084
389	0.9677419355	0.07723249692
390	0.9677419355	0.0772199238
391	0.9677419355	0.07714964735
392	0.9677419355	0.07713742541
393	0.9677419355	0.07707993866
394	0.9677419355	0.07701386629
395	0.9677419355	0.07695030551
396	0.9677419355	0.07693839975
397	0.9677419355	0.07685921757
398	0.9677419355	0.07678335935
399	0.9677419355	0.07677164029
400	0.9677419355	0.07671956677
401	0.9677419355	0.07670799804
402	0.9677419355	0.07664341149
403	0.9677419355	0.07658259037
404	0.9677419355	0.07657143282
405	0.9677419355	0.07652292217
406	0.9677419355	0.07647434583
407	0.9677419355	0.07640678049
408	0.9677419355	0.07634930968
409	0.9677419355	0.0763030271
410	0.9677419355	0.07623850824
411	0.9677419355	0.07618579216
412	0.9677419355	0.07617540652
413	0.9677419355	0.07611453579
414	0.9677419355	0.07606169641
415	0.9677419355	0.07602456605
416	0.9677419355	0.07600439553
417	0.9677419355	0.07599436497
418	0.9677419355	0.07598449116
419	0.9677419355	0.07591547505
420	0.9677419355	0.07591262156
421	0.9677419355	0.07590293386
422	0.9677419355	0.07589339513
423	0.9677419355	0.07584564646
424	0.9677419355	0.07579518234
425	0.9677419355	0.07577304466
426	0.9677419355	0.07576375727
427	0.9677419355	0.07572176034
428	0.9677419355	0.07570290623
429	0.9677419355	0.07565444736
430	0.9677419355	0.07563293961
431	0.9677419355	0.07561200397
432	0.9677419355	0.07560301046
433	0.9677419355	0.07554355565
434	0.9677419355	0.07549757973
435	0.9677419355	0.07548890907
436	0.9677419355	0.07546879198
437	0.9677419355	0.07541268589
438	0.9677419355	0.07537855936
439	0.9677419355	0.07532225313
440	0.9677419355	0.07527859489
441	0.9677419355	0.07521499173
442	0.9677419355	0.07518249505
443	0.9677419355	0.07517454082
444	0.9677419355	0.07513203429
445	0.9677419355	0.07512423178
446	0.9677419355	0.0750831999
447	0.9677419355	0.07506503552
448	0.9677419355	0.07500426977
449	0.9677419355	0.07496580953
450	0.9677419355	0.07495770161
451	0.9677419355	0.07492285237
452	0.9677419355	0.07491493647
453	0.9677419355	0.07487520018
454	0.9677419355	0.07483970061
455	0.9677419355	0.07480542528
456	0.9677419355	0.07479776715
457	0.9677419355	0.07475323248
458	0.9677419355	0.07474562779
459	0.9677419355	0.07472972853
460	0.9677419355	0.07469251031
461	0.9677419355	0.07465439401
462	0.9677419355	0.07464699719
463	0.9677419355	0.07463970341
464	0.9677419355	0.07463286331
465	0.9677419355	0.07457748624
466	0.9677419355	0.07457561389
467	0.9677419355	0.07454021527
468	0.9677419355	0.07448672536
469	0.9677419355	0.07444512969
470	0.9677419355	0.0744380409
471	0.9677419355	0.07440543358
472	0.9677419355	0.07439838597
473	0.9677419355	0.0743914404
474	0.9677419355	0.07437725822
475	0.9677419355	0.07433710692
476	0.9677419355	0.07428691637
477	0.9677419355	0.07428001275
478	0.9677419355	0.07427321233
479	0.9677419355	0.07426651136
480	0.9677419355	0.07425990637
481	0.9677419355	0.07422093692
482	0.9677419355	0.07419442592
483	0.9677419355	0.07419265272
484	0.9677419355	0.07419232666
485	0.9677419355	0.07414431013
486	0.9677419355	0.07409938936
487	0.9677419355	0.07409300828
488	0.9677419355	0.07405547975
489	0.9677419355	0.07404913512
490	0.9677419355	0.07401159535
491	0.9677419355	0.07400540633
492	0.9677419355	0.07395898866
493	0.9677419355	0.07392276031
494	0.9677419355	0.07391659594
495	0.9677419355	0.07388101396
496	0.9677419355	0.07384909886
497	0.9677419355	0.07380407027
498	0.9677419355	0.07377289264
499	0.9677419355	0.07376690699
